wallet,nft_count,nft_tickets,sbt_tier,sbt_tickets,tickets
0x60205bab990bf54c701f8850e56bc52446008930,3,4,diamond,2,6
0x607fe5375f3d891806d2e2268801894222fcd2cd,1,1,diamond,2,3
0x6098753feaf8427ee5d30dccbdd94b74a16f3b71,1,1,r3tard,1,2
0x61c7e844fc5c310f8451902597c0452ec12cc31b,1,1,diamond,2,3
0x62591cc06ef5f43ce79a06f7eb2aec59ef5d2374,1,1,diamond,2,3
0x6277cc43c7bc76cddd5f6d59b12d713d9e4b835d,1,1,r3tard,1,2
0x630dcfaf9e25978c5b54c6b880542abfcc424467,1,1,none,0,1
0x634899a96190dc4597cffc7ce42db0ffbd85f11c,1,1,none,0,1
0x649995f20d11f54188e865d8a4adcfde4692ecd1,10,11,diamond,2,13
0x666b87e683e5c302daf93e6ee66429ccccdb8fe7,1,1,none,0,1
0x66741dbe71473188d2beb7893f1dcc28ae9ceb6e,1,1,diamond,2,3
0x66cb084c1d8eb991b25352a7cac0b9a55df4907d,1,2,none,0,2
0x66dece519efafd028ad350f73fb77591a5d5edda,2,3,r3tard,1,4
0x6786e67c18630156fd154f25ba6d662823d1307a,2,2,diamond,2,4
0x6790ddf40f7cb2cea83cd14a42d0b312252d1ffe,1,1,diamond,2,3
0x68227b00bcf55eaa0e3b11627ae5e19821a6538a,5,6,diamond,2,8
0x6a45168375ee0c08e8ede3e8ce083240c7bf6516,3,3,diamond,2,5
0x6a771a3f243e98d92bb8ffa1fe76c7c32a3eba9f,1,1,diamond,2,3
0x6d2cea496ba329a0ce2a8e58719fc162c3d82c04,15,20,diamond,2,22
0x6dc3237908467f123543e198992cc4a601ce21f0,1,1,none,0,1
0x6e1e4d3bcb1bb7c8f97b985a5f93c11c3808f4b4,2,2,diamond,2,4
0x6e5def44c636a8e538e9448817b374c598b5369a,1,1,none,0,1
0x6e65f8a0d5637ee77c9cc0bb058bd2a1b09bb2c4,1,1,diamond,2,3
0x6e941494dcbc9f1ae1cb2c45ad8b92e19d84ce72,1,2,r3tard,1,3
0x6f2c4676f8750e4d5751ba72af21fbd33f325444,1,1,diamond,2,3
0x721fb1502510029ded284897c5ab2a8fbd68d668,1,2,r3tard,1,3
0x7284c43a849985cc59c777b16fc040bfb4ffe0e1,2,2,diamond,2,4
0x72b293417c86d21493f9a7b487eac2145fc08286,3,3,diamond,2,5
0x72b4ba37ddfb5e9cda5ba8b4176212d11de9f7f7,7,8,diamond,2,10
0x72d414cf4d463dacea8ea183d00399d206ebd935,2,2,none,0,2
0x72eca5e1907c6766553d0937689907d2f9509219,1,1,none,0,1
0x7367772422348626242bb837a35a0224e5d96c6a,1,1,diamond,2,3
0x736f1636cc4e86fcc20f00176c4081bd6fd4b063,2,2,diamond,2,4
0x74e66a000b14212a2baeec9edabf1ef4164f9e80,1,1,diamond,2,3
0x7515fa96acafeaaa827303acd2a5c5d1c885023c,1,1,r3tard,1,2
0x752a21970c7a40ae54031cfae630371396463d86,1,1,diamond,2,3
0x77a7903c5ddb8cff56a95b461d9740d4a7bf7d24,1,1,none,0,1
0x77a9e40c0b0033af3e2a7dc9344327bb91459a5f,4,5,diamond,2,7
0x77fabb24d656cc08153309ca9fd9e9c41c6c2005,1,1,diamond,2,3
0x780b6b1a935e52b41fe895236073d254f189f3dd,1,1,none,0,1
0x7813ec06a79821e5f2d71c6e86d39bfe1c66a8bb,1,1,none,0,1
0x7895a0a2d2898401aefdacc8b205e7b6b5804f7a,1,2,none,0,2
0x792edb670693216b52d9d558c1b40ae93d607056,1,1,r3tard,1,2
0x7947d3a0a678f93a9ddb47a4153fcaa6c510a9f1,2,3,diamond,2,5
0x79f095c916abf6861333939b44453d1f4db4134c,1,1,diamond,2,3
0x79f839e1224f4123ed36f0d47365c0f35a22c30b,1,1,none,0,1
0x7a049b52920ab21001d0bc6dfe7a20257b85945e,1,1,none,0,1
0x7a558a236dc92f5fdfc3d9b14b8bb0ad6912d938,1,1,diamond,2,3
0x7a94342fc568e6e057c082765b81f4e3f16640d7,1,1,r3tard,1,2
0x7baae4eab0e08ebb47f0b39acd77e390d4f321cf,11,11,diamond,2,13
0x7bb3bc8164885d8d8f287e9336b0450b8683db4c,1,1,diamond,2,3
0x7c1f45082dd441a906f6d7b63d8108313d28d280,1,1,none,0,1
0x7c4d298ff07153bc7a47dee05b9dfd61e35ef342,2,2,diamond,2,4
0x7cbc69b89c1a29e440fb70f8afde94957ff1660c,1,1,none,0,1
0x7e437f58a4a7b93a4d5d68180645340eca71901f,1,1,none,0,1
0x7e8cae716323bc5b2af2544294c2406022987109,1,1,diamond,2,3
0x7f16a43033e73109755e1f87b263e0b3a0dedcea,1,1,none,0,1
0x7f6d50b20f80b8b83be549c0bf035f83dd3c4cd2,1,1,r3tard,1,2
0x7fc0df2a76fc423c3d150d603292fabd06d5f782,1,1,diamond,2,3
0x81c6a442bfb0eccd4ce1725814ef0127a7feedb7,1,1,none,0,1
0x82da112d2475f59b92eef4947bb7044c30be1ce4,1,1,none,0,1
0x82dcba7a8bf3aa462040038ecb3d5d90901676e8,1,1,none,0,1
0x8387d9a00976b07ebc3d0eb029ef833a405c2ca8,5,5,r3tard,1,6
0x84123d32f75647d149d62fa043b1bdb86f8e62cc,4,4,diamond,2,6
0x8434205c1909c8b7ed0d225043bc114d86582ab0,1,1,diamond,2,3
0x84792e0f6f7b4861ebcd75e93cf7539186a77180,1,1,none,0,1
0x84f6fdad487ed45bd8d8dc8ea72bcc8562da27ce,1,1,none,0,1
0x854cc995542e05c7bea57034e2b2e88d509d9431,1,1,diamond,2,3
0x8561b3b0f51688fbcca21de811c5c1c62407a78c,11,11,diamond,2,13
0x858817885f4dd1de034d2cc7b9fcf1e87899d109,1,1,r3tard,1,2
0x861641d9b67046c7d6e25f5cf378077896553ffd,1,1,r3tard,1,2
0x87724f88f2220b1b7eb7434b0395b51927c51049,1,1,diamond,2,3
0x887fbfda92c658756de4954332256790760f662e,2,2,diamond,2,4
0x888a673efacd7d2a1f7950d84152ae5358693da9,1,1,none,0,1
0x896b2797442e7066f2e46959a0b32398999fcc0d,2,2,diamond,2,4
0x8a25b453a19a730d30c1a5407c4b31d3b11ec194,2,2,r3tard,1,3
0x8a5e0a140fd2bd671efeeabca0229a8527ec8bb7,1,1,diamond,2,3
0x8b6634a77b7c2a280f64a76d7a0379282477401f,1,1,none,0,1
0x8d5ccd5275141de22650d9570f4f56db87807425,1,1,none,0,1
0x8dceb0f2ce1844af252ee9ce3a9d84b738d3d9b6,1,1,diamond,2,3
0x8e2d56a672b78acc2c72e1eea721b0a7cb6db06f,1,1,none,0,1
0x8ed4f5823104c7c0566446c962475d55be7f8ba5,2,2,diamond,2,4
0x9049e81255585e6b7f2180c57fbde81cd61ec77e,1,1,r3tard,1,2
0x91152cae79902b61085d82466cba7c490e953024,1,1,none,0,1
0x911d7f579c9ac29c39fde217a08096407cda3f4d,1,1,diamond,2,3
0x9201494bd4bd4f3d064529783a8349f3f2d29372,1,1,r3tard,1,2
0x921d16b13fe619e4510c082892b3871f3c85498c,4,5,diamond,2,7
0x94c638baee3aec5b09b8046cb8d8fbabfe628684,1,1,r3tard,1,2
0x952be5d51faccf85b9333c86890a48792b0da94f,1,1,diamond,2,3
0x9541738f4adbc711a3a7d8689cff272e4e093929,2,2,diamond,2,4
0x95d41776812c6ca222dd5fdea56c065b55ff7655,8,8,diamond,2,10
0x961b47ee67fa9aa8c916d0d7a61c5bbeef8a018c,2,4,diamond,2,6
0x963572ba464dde8f437e19b6110bc38d5dc00c21,1,1,diamond,2,3
0x96463e29607f0f400dec7905b375f07ac7e24cb7,1,2,diamond,2,4
0x9686ef5e52e51fa6c8bbfaccb2ff6b958c4625a9,1,1,none,0,1
0x9750a6f0a1220a09b122e267d6484bc1f0e8f798,1,1,diamond,2,3
0x98a43828a25a1834e518931f870b95dbb19eee19,1,1,none,0,1
0x9986873e5bb99141fb49b30c55bc14f22c0d9e65,1,1,r3tard,1,2
0x9a06d523fea656b41d9fbbdd0330126861a02998,3,3,diamond,2,5
0x9a1452b82f7a4f5e6b3895af56bc70c31cbc0d1c,1,1,none,0,1
0x9aaa8574d19480427696f2290ada5e958675ad50,1,1,diamond,2,3
0x9ae293893f19e12e1a56faa179680e0e652ec63a,1,1,r3tard,1,2
0x9ccae0a840577e304788ab54c5050b80a1e35398,3,3,diamond,2,5
0x9d2aa2571da4fb680ecced0f18192a90d9757952,2,2,diamond,2,4
0x9de91fc2ea41a6a51237aafcf85c840a4ebae812,1,1,diamond,2,3
0x9e3ce07db3be079218c3601411354ef65eaa692d,1,1,diamond,2,3
0x9e54d103b00aecb003459bea82475dbfc370fddf,1,1,r3tard,1,2
0x9e7ec1e36162fc7f79f6c0377fe50574227d4fda,2,2,none,0,2
0x9f6f33149fcb1a24de8054b35c90ebfb9ab4b132,1,1,diamond,2,3
0x9fa83ddc747c7c359efc2c4a653f25430ed09ea6,2,2,diamond,2,4
0xa0253fbe36208602d6e5a882f6662959bbbd9fe6,1,1,none,0,1
0xa115cd20434a5f65d62b028bc28b897477b60d88,1,1,r3tard,1,2
0xa142e37a93f0762ba14224eaaa42ffee6e02a616,1,1,diamond,2,3
0xa1ece224be27c895dffe0db939615e0420982455,2,4,r3tard,1,5
0xa27121d3095d21e5ad014ef51ad7fdcee186b63a,1,1,diamond,2,3
0xa2b5e9106883214557694da3081490ddccbc8108,2,2,none,0,2
0xa3014d7a4cfff47acb12e7d845e7c447ea93ceb2,2,2,diamond,2,4
0xa320daa989ae8d6d7813340697f4f9e75f5b78e8,1,2,diamond,2,4
0xa33f60375931ca2dc38596a26e66e26526dcc4c9,3,3,diamond,2,5
0xa38329064572b18d6bc7bdfbfc8c18d9f6fb9ae0,1,1,diamond,2,3
0xa3d506ea0aea630730332b61b4dd057ca7c6b159,2,2,diamond,2,4
0xa475e146eaf8803f7afe18386a6ba11e5fa90461,1,1,diamond,2,3
0xa4bb6472656e8d75a3590e4fdbe0d8c16c6d3369,1,1,none,0,1
0xa4f9d02cd829ba1581cf1a6dd4f914ee9d534892,4,4,diamond,2,6
0xa65e1afab1822e9df90c278c73973551248bf5ac,3,3,none,0,3
0xa66db1785e461e759ba3040e5332547413c21d3e,2,3,r3tard,1,4
0xa74aaa7d063bf8c9f316fceb93f63be2602941ad,1,1,diamond,2,3
0xa7b452e57de8a705a23c33001f90e4adf9004a90,1,1,diamond,2,3
0xa8cc55036843da11cf4588c42391d705f6d1dfc8,1,1,r3tard,1,2
0xa9436a0e4bfd13d8eabf288435fc850d74d22026,1,1,none,0,1
0xa9dab2e0149c5ea4cdd7a70832ee8fa9103484d7,1,1,none,0,1
0xa9ee4d72dd6081668e8b30649e9e095fca00ab9f,1,1,r3tard,1,2
0xabd29e9f206b20148e03f95c31c5f3139c0e9999,1,1,diamond,2,3
0xad2cabb2a4cbd74b2d0167138474c1a6f475b0f5,7,7,diamond,2,9
0xad3c6d40dcb9dd71ee6d8ad4746b25398027ee21,1,1,r3tard,1,2
0xaeb09ed3407a354f1a63e82953a26fe8f2fcc261,1,2,diamond,2,4
0xaef683a94e57b290cb6c7af235b0fe017e80c238,1,1,diamond,2,3
0xaf9a1b73db97a0ff2c5c5e5527c25aad0e09a3e2,1,1,r3tard,1,2
0xafb4bce970b77222a74d240294bd67216114b8eb,1,1,r3tard,1,2
0xb0e06add73ddd276d731f5419ebaf81d6615b14e,1,1,r3tard,1,2
0xb2eb4f13a0b4cb237cdb809353d17ea90ba8a418,1,1,r3tard,1,2
0xb42eebd415e254043f3631d8faa83956c1fbdf42,1,2,r3tard,1,3
0xb45fcf6e1dab1f15a21449d75f00eef34fa7cb5e,1,1,diamond,2,3
0xb46bf163c3b7de6b80270ece9012a276863842f0,1,1,diamond,2,3
0xb4dff2c9b4db343ed94fb9bf4788bcbd59d101b7,1,1,r3tard,1,2
0xb4f1f817809586d98c63886ec8d4d635185fa5d9,4,4,diamond,2,6
0xb555daca54d54163865897fa02917ed2f1820f21,1,1,diamond,2,3
0xb5cf87d082840d97ffff99c1c3758c4db95d5988,1,1,none,0,1
0xb5d57bb186b0e670d8e083ac11d29ebc3a851bea,1,1,diamond,2,3
0xb626bf8fde033a575356bb7f757f0833e5ada8d2,2,2,diamond,2,4
0xb64e3f44ccb7e2c28956b8f975cd463de426d46a,1,1,diamond,2,3
0xb7b7398181d94540a74df7ba351ca6088d9c5225,1,1,diamond,2,3
0xb850a0a856055d9f2ae6d7355f2e07a00a3cc646,1,1,none,0,1
0xb8898bb87b07bac7ba9c2268e6d0640d5a208a7a,1,1,r3tard,1,2
0xb8afd6a452a3459f70c0de50a81615e163402b02,2,2,diamond,2,4
0xb8f1ba7e145e33c0e7fda17e7d078c096a9d1584,1,1,diamond,2,3
0xb900bb3c053ae00c3d28ec9bc6bbc6a2efae2058,1,1,none,0,1
0xb976dfede0be9ae7af7cbd99254dd093f0a3e50f,1,2,diamond,2,4
0xb98519eb872d973b95c5c90b44e48759654a6666,1,1,diamond,2,3
0xb9b94a138a4b3cf982dfbf8685b6652fda5051b4,1,1,r3tard,1,2
0xba30494de80cc9b8db0be1750c06b21e80f3a08f,1,1,none,0,1
0xba6bf20fd7e825af0eb69ed6a6c2282e5945db0f,1,1,none,0,1
0xba97282d71d3c5b73fd23ec3fb8514aa092004d4,1,1,diamond,2,3
0xbb4d7477a43e26328cf4cb811dcd6d03e6965786,1,1,none,0,1
0xbb965d3301ca08a9f9eadb86a93cc18a08c4293f,1,1,diamond,2,3
0xbb9a9644dbb8952a0ad03f7ce7671c07f5643bb3,2,2,diamond,2,4
0xbbf33aeeaa5a68cece77c01d2b4eacd4d685136a,1,1,r3tard,1,2
0xbcc24929108278944aa180ff8322b900356f7701,33,33,diamond,2,35
0xbcddd321c83de95cb62b619409cbef39a5c1a267,4,5,diamond,2,7
0xbd36dcf15db0a9449ec5ccc997df1c756fc16ac5,4,5,diamond,2,7
0xbd7477006daa466d15d0b13f614e84c1e5def06a,1,1,r3tard,1,2
0xbdd4c6b3c82c5b0e153739d514b23f10b6d68a37,2,2,diamond,2,4
0xbf016ccf042f6bba524b246f7d90aac0ac83a656,4,4,none,0,4
0xbf3aae135034452987490d6587b42704e617cf79,2,2,diamond,2,4
0xbf3bbfb0cf0151b292f04531e26ea2d3ffb1e150,1,1,diamond,2,3
0xbf6d8b985634485218cd1fcc651144df4bd593e3,1,2,diamond,2,4
0xc167f6f6cb2c684eb4c46179623f23d82e9fd654,7,7,diamond,2,9
0xc1b43bbdcd6884b581f83ab92e9b718bad19dfb3,1,1,none,0,1
0xc1e52555b146832e7b9bf5795b1cb3f4344f8431,1,1,diamond,2,3
0xc25462b9375ab11cd0399eb9eb6f833a4363e14a,1,1,diamond,2,3
